number,status,heuristic_score,comments,activity_state,formalized,prize,tags,url,statement
362,proved,9,1,,no,no,['number theory'],https://www.erdosproblems.com/362,"Let $A\subseteq \mathbb{N}$ be a finite set of size $N$. Is it true that, for any fixed $t$, there are\[\ll \frac{2^N}{N^{3/2}}\]many $S\subseteq A$ such that $\sum_{n\in S}n=t$?
If we further ask that $\lvert S\rvert=l$ (for any fixed $l$) then is the number of solutions\[\ll \frac{2^N}{N^2},\]with the implied constant independent of $l$ and $t$?"
363,disproved (Lean),14,2,,no,no,['number theory'],https://www.erdosproblems.com/363,"Is it true that there are only finitely many collections of disjoint intervals $I_1,\ldots,I_n$ of size $\lvert I_i\rvert \geq 4$ for $1\leq i\leq n$ such that\[\prod_{1\leq i\leq n}\prod_{m\in I_i}m\]is a square?"
364,verifiable,81,4,open,yes,no,['number theory'],https://www.erdosproblems.com/364,Are there any triples of consecutive positive integers all of which are powerful (i.e. if $p\mid n$ then $p^2\mid n$)?
365,open,50,3,open,no,no,['number theory'],https://www.erdosproblems.com/365,"Do all pairs of consecutive powerful numbers $n$ and $n+1$ come from solutions to Pell equations? In other words, must either $n$ or $n+1$ be a square?
Is the number of such $n\leq x$ bounded by $(\log x)^{O(1)}$?"
366,verifiable,81,3,open,yes,no,['number theory'],https://www.erdosproblems.com/366,"Are there any $2$-full $n$ such that $n+1$ is $3$-full? That is, if $p\mid n$ then $p^2\mid n$ and if $p\mid n+1$ then $p^3\mid n+1$."
367,open,45,6,open,no,no,['number theory'],https://www.erdosproblems.com/367,"Let $B_2(n)$ be the $2$-full part of $n$ (that is, $B_2(n)=n/n'$ where $n'$ is the product of all primes that divide $n$ exactly once). Is it true that, for every fixed $k\geq 1$,\[\prod_{n\leq m<n+k}B_2(m) \ll n^{2+o(1)}?\]Or perhaps even $\ll_k n^2$?"
368,open,50,4,open,no,no,['number theory'],https://www.erdosproblems.com/368,How large is the largest prime factor of $n(n+1)$?
369,proved (Lean),6,11,,no,no,['number theory'],https://www.erdosproblems.com/369,"Let $\epsilon>0$ and $k\geq 2$. Is it true that, for all sufficiently large $n$, there is a sequence of $k$ consecutive integers in $\{1,\ldots,n\}$ all of which are $n^\epsilon$-smooth?"
370,proved (Lean),16,3,,yes,no,['number theory'],https://www.erdosproblems.com/370,Are there infinitely many $n$ such that the largest prime factor of $n$ is $<n^{1/2}$ and the largest prime factor of $n+1$ is $<(n+1)^{1/2}$?
371,open,56,4,open,yes,no,['number theory'],https://www.erdosproblems.com/371,Let $P(n)$ denote the largest prime factor of $n$. Show that the set of $n$ with $P(n)<P(n+1)$ has density $1/2$.
372,proved,17,0,,no,no,['number theory'],https://www.erdosproblems.com/372,Let $P(n)$ denote the largest prime factor of $n$. There are infinitely many $n$ such that $P(n)>P(n+1)>P(n+2)$.
373,open,60,3,open,yes,no,"['number theory', 'factorials']",https://www.erdosproblems.com/373,"Show that the equation\[n! = a_1!a_2!\cdots a_k!,\]with $n-1>a_1\geq a_2\geq \cdots \geq a_k\geq 2$, has only finitely many solutions."
374,open,49,1,open,no,no,['number theory'],https://www.erdosproblems.com/374,"For any $m\in \mathbb{N}$, let $F(m)$ be the minimal $k\geq 2$ (if it exists) such that there are $a_1<\cdots <a_k=m$ with $a_1!\cdots a_k!$ a square. Let $D_k=\{ m : F(m)=k\}$. What is the order of growth of $\lvert D_k\cap\{1,\ldots,n\}\rvert$ for $3\leq k\leq 6$? For example, is it true that $\lvert D_6\cap \{1,\ldots,n\}\rvert \gg n$?"
375,falsifiable,81,4,open,yes,no,['number theory'],https://www.erdosproblems.com/375,"Is it true that for any $n,k\geq 1$, if $n+1,\ldots,n+k$ are all composite then there are distinct primes $p_1,\ldots,p_k$ such that $p_i\mid n+i$ for $1\leq i\leq k$?"
376,open,56,3,open,yes,no,"['number theory', 'binomial coefficients', 'base representations']",https://www.erdosproblems.com/376,Are there infinitely many $n$ such that $\binom{2n}{n}$ is coprime to $105$?
377,open,60,1,open,yes,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/377,Is there some absolute constant $C>0$ such that\[\sum_{p\leq n}1_{p\nmid \binom{2n}{n}}\frac{1}{p}\leq C\]for all $n$ (where the summation is restricted to primes $p\leq n$)?
378,proved,14,2,,no,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/378,Let $r\geq 0$. Does the density of integers $n$ for which $\binom{n}{k}$ is squarefree for at least $r$ values of $1\leq k0$?
379,proved (Lean),12,8,,yes,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/379,"Let $S(n)$ denote the largest integer such that, for all $1\leq k<n$, the binomial coefficient $\binom{n}{k}$ is divisible by $p^{S(n)}$ for some prime $p$ (depending on $k$). Is it true that\[\limsup S(n)=\infty?\]"
380,proved,1,10,,no,no,['number theory'],https://www.erdosproblems.com/380,"We call an interval $[u,v]$ 'bad' if the greatest prime factor of $\prod_{u\leq m\leq v}m$ occurs with an exponent greater than $1$. Let $B(x)$ count the number of $n\leq x$ which are contained in at least one bad interval. Is it true that\[B(x)\sim \#\{ n\leq x: P(n)^2\mid n\},\]where $P(n)$ is the largest prime factor of $n$?"
381,disproved,16,0,,no,no,"['number theory', 'divisors']",https://www.erdosproblems.com/381,"A number $n$ is highly composite if $\tau(m)<\tau(n)$ for all $m<n$, where $\tau(m)$ counts the number of divisors of $m$. Let $Q(x)$ count the number of highly composite numbers in $[1,x]$.
Is it true that\[Q(x)\gg_k (\log x)^k\]for every $k\geq 1$?"
382,open,54,1,open,no,no,['number theory'],https://www.erdosproblems.com/382,Let $u\leq v$ be such that the largest prime dividing $\prod_{u\leq m\leq v}m$ appears with exponent at least $2$. Is it true that $v-u=v^{o(1)}$? Can $v-u$ be arbitrarily large?
383,open,60,1,open,yes,no,['number theory'],https://www.erdosproblems.com/383,Is it true that for every $k$ there are infinitely many primes $p$ such that the largest prime divisor of\[\prod_{0\leq i\leq k}(p^2+i)\]is $p$?
384,proved,14,1,,no,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/384,If $1<k<n-1$ then $\binom{n}{k}$ is divisible by a prime $p<n/2$ (except $\binom{7}{3}=5\cdot 7$).
385,open,63,0,open,yes,no,['number theory'],https://www.erdosproblems.com/385,Let\[F(n) = \max_{\substack{mn$ for all sufficiently large $n$? Does $F(n)-n\to \infty$ as $n\to\infty$?
386,open,52,13,open,yes,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/386,Let $2\leq k\leq n-2$. Can $\binom{n}{k}$ be the product of consecutive primes infinitely often? For example\[\binom{21}{2}=2\cdot 3\cdot 5\cdot 7.\]
387,open,56,6,open,yes,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/387,"Is there an absolute constant $c>0$ such that, for all $1\leq k< n$, the binomial coefficient $\binom{n}{k}$ has a divisor in $(cn,n]$?"
388,open,46,10,open,no,no,['number theory'],https://www.erdosproblems.com/388,"Can one classify all solutions of\[\prod_{1\leq i\leq k_1}(m_1+i)=\prod_{1\leq j\leq k_2}(m_2+j)\]where $k_1,k_2>3$ and $m_1+k_1\leq m_2$? Are there only finitely many solutions?"
389,open,52,8,open,yes,no,['number theory'],https://www.erdosproblems.com/389,Is it true that for every $n\geq 1$ there is a $k$ such that\[n(n+1)\cdots(n+k-1)\mid (n+k)\cdots (n+2k-1)?\]
390,open,64,1,open,yes,no,"['number theory', 'factorials']",https://www.erdosproblems.com/390,Let $f(n)$ be the minimal $m$ such that\[n! = a_1\cdots a_k\]with $n< a_1<\cdots <a_k=m$. Is there (and what is it) a constant $c$ such that\[f(n)-2n \sim c\frac{n}{\log n}?\]
391,proved,16,0,,no,no,"['number theory', 'factorials']",https://www.erdosproblems.com/391,"Let $t(n)$ be maximal such that there is a representation\[n!=a_1\cdots a_n\]with $t(n)=a_1\leq \cdots \leq a_n$. Obtain good bounds for $t(n)/n$. In particular, is it true that\[\lim \frac{t(n)}{n}=\frac{1}{e}?\]Furthermore, does there exist some constant $c>0$ such that\[\frac{t(n)}{n} \leq \frac{1}{e}-\frac{c}{\log n}\]for infinitely many $n$?"
392,proved (Lean),16,18,,yes,no,"['number theory', 'factorials']",https://www.erdosproblems.com/392,Let $A(n)$ denote the least value of $t$ such that\[n!=a_1\cdots a_t\]with $a_1\leq \cdots \leq a_t\leq n^2$. Is it true that\[A(n)=\frac{n}{2}-\frac{n}{2\log n}+o\left(\frac{n}{\log n}\right)?\]
393,open,54,6,open,no,no,"['number theory', 'factorials']",https://www.erdosproblems.com/393,Let $f(n)$ denote the minimal $m\geq 1$ such that\[n! = a_1\cdots a_t\]with $a_1<\cdots <a_t=a_1+m$. What is the behaviour of $f(n)$?
394,open,47,8,open,yes,no,['number theory'],https://www.erdosproblems.com/394,"Let $t_k(n)$ denote the least $m$ such that\[n\mid m(m+1)(m+2)\cdots (m+k-1).\]Is it true that\[\sum_{n\leq x}t_2(n)\ll \frac{x^2}{(\log x)^c}\]for some $c>0$?
Is it true that, for $k\geq 2$,\[\sum_{n\leq x}t_{k+1}(n) =o\left(\sum_{n\leq x}t_k(n)\right)?\]"
395,proved,17,0,,no,no,['analysis'],https://www.erdosproblems.com/395,"If $z_1,\ldots,z_n\in \mathbb{C}$ with $\lvert z_i\rvert=1$ then is it true that the probability that\[\lvert \epsilon_1z_1+\cdots+\epsilon_nz_n\rvert \leq \sqrt{2},\]where $\epsilon_i\in \{-1,1\}$ uniformly at random, is $\gg 1/n$?"
396,open,52,35,open,yes,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/396,Is it true that for every $k$ there exists $n$ such that\[\prod_{0\leq i\leq k}(n-i) \mid \binom{2n}{n}?\]
397,disproved (Lean),12,30,,yes,no,"['number theory', 'binomial coefficients']",https://www.erdosproblems.com/397,"Are there only finitely many solutions to\[\prod_i \binom{2m_i}{m_i}=\prod_j \binom{2n_j}{n_j}\]with the $m_i,n_j$ distinct?"
398,falsifiable,81,10,open,yes,no,"['number theory', 'factorials']",https://www.erdosproblems.com/398,"Are the only solutions to\[n!=x^2-1\]when $n=4,5,7$?"
399,disproved (Lean),27,0,,yes,no,"['number theory', 'factorials']",https://www.erdosproblems.com/399,"Is it true that there are no solutions to\[n! = x^k\pm y^k\]with $x,y,n\in \mathbb{N}$, with $xy>1$ and $k>2$?"
400,open,62,0,open,yes,no,"['number theory', 'factorials']",https://www.erdosproblems.com/400,"For any $k\geq 2$ let $g_k(n)$ denote the maximum value of\[(a_1+\cdots+a_k)-n\]where $a_1,\ldots,a_k$ are integers such that $a_1!\cdots a_k! \mid n!$. Can one show that\[\sum_{n\leq x}g_k(n) \sim c_k x\log x\]for some constant $c_k$? Is it true that there is a constant $c_k$ such that for almost all $n<x$ we have\[g_k(n)=c_k\log x+o(\log x)?\]"
401,proved (Lean),10,21,,no,no,"['number theory', 'factorials']",https://www.erdosproblems.com/401,"Is there some function $f(r)$ such that $f(r)\to \infty$ as $r\to\infty$, such that, for infinitely many $n$, there exist $a_1,a_2$ with\[a_1+a_2> n+f(r)\log n\]such that $a_1!a_2! \mid n!2^n3^n\cdots p_r^n$?"
402,proved,23,0,,yes,no,['number theory'],https://www.erdosproblems.com/402,"Prove that, for any finite set $A\subset\mathbb{N}$, there exist $a,b\in A$ such that\[\mathrm{gcd}(a,b)\leq a/\lvert A\rvert.\]"
403,proved,21,0,,no,no,"['number theory', 'factorials']",https://www.erdosproblems.com/403,Does the equation\[2^m=a_1!+\cdots+a_k!\]with $a_1<a_2<\cdots <a_k$ have only finitely many solutions?
404,open,49,5,open,no,no,"['number theory', 'factorials']",https://www.erdosproblems.com/404,"For which integers $a\geq 1$ and primes $p$ is there a finite upper bound on those $k$ such that there are $a=a_1<\cdots<a_n$ with\[p^k \mid (a_1!+\cdots+a_n!)?\]If $f(a,p)$ is the greatest such $k$, how does this function behave?
Is there a prime $p$ and an infinite sequence $a_1<a_2<\cdots$ such that if $p^{m_k}$ is the highest power of $p$ dividing $\sum_{i\leq k}a_i!$ then $m_k\to \infty$?"
405,proved,21,0,,no,no,"['number theory', 'factorials']",https://www.erdosproblems.com/405,Let $p$ be an odd prime. Is it true that the equation\[(p-1)!+a^{p-1}=p^k\]has only finitely many solutions?
406,open,56,5,open,yes,no,"['number theory', 'base representations']",https://www.erdosproblems.com/406,Is it true that there are only finitely many powers of $2$ which have only the digits $0$ and $1$ when written in base $3$?
407,proved,10,4,,no,no,['number theory'],https://www.erdosproblems.com/407,"Let $w(n)$ count the number of solutions to\[n=2^a+3^b+2^c3^d\]with $a,b,c,d\geq 0$ integers. Is it true that $w(n)$ is bounded by some absolute constant?"
408,open,49,1,open,no,no,"['number theory', 'iterated functions']",https://www.erdosproblems.com/408,"Let $\phi(n)$ be the Euler totient function and $\phi_k(n)$ be the iterated $\phi$ function, so that $\phi_1(n)=\phi(n)$ and $\phi_k(n)=\phi(\phi_{k-1}(n))$. Let\[f(n) = \min \{ k : \phi_k(n)=1\}.\]Does $f(n)/\log n$ have a distribution function? Is $f(n)/\log n$ almost always constant? What can be said about the largest prime factor of $\phi_k(n)$ when, say, $k=\log\log n$?"
409,open,56,3,open,yes,no,"['number theory', 'iterated functions']",https://www.erdosproblems.com/409,How many iterations of $n\mapsto \phi(n)+1$ are needed before a prime is reached? Can infinitely many $n$ reach the same prime? What is the density of $n$ which reach any fixed prime?
410,open,60,1,open,yes,no,"['number theory', 'iterated functions']",https://www.erdosproblems.com/410,"Let $\sigma_1(n)=\sigma(n)$, the sum of divisors function, and $\sigma_k(n)=\sigma(\sigma_{k-1}(n))$. Is it true that for all $n\geq 2$\[\lim_{k\to \infty} \sigma_k(n)^{1/k}=\infty?\]"
411,open,50,4,open,no,no,"['number theory', 'iterated functions']",https://www.erdosproblems.com/411,Let $g_1=g(n)=n+\phi(n)$ and $g_k(n)=g(g_{k-1}(n))$. For which $n$ and $r$ is it true that $g_{k+r}(n)=2g_k(n)$ for all large $k$?
412,open,60,2,open,yes,no,"['number theory', 'iterated functions']",https://www.erdosproblems.com/412,"Let $\sigma_1(n)=\sigma(n)$, the sum of divisors function, and $\sigma_k(n)=\sigma(\sigma_{k-1}(n))$. 
Is it true that, for every $m,n\geq 2$, there exist some $i,j$ such that $\sigma_i(m)=\sigma_j(n)$?"
413,open,56,3,open,yes,no,"['number theory', 'iterated functions']",https://www.erdosproblems.com/413,"Let $\omega(n)$ count the number of distinct primes dividing $n$. Are there infinitely many $n$ such that, for all $m0$ such that there are infinitely many $n$ where $m+\epsilon \omega(m)\leq n$ for all $m<n$?"
414,open,60,1,open,yes,no,"['number theory', 'iterated functions']",https://www.erdosproblems.com/414,"Let $h_1(n)=h(n)=n+\tau(n)$ (where $\tau(n)$ counts the number of divisors of $n$) and $h_k(n)=h(h_{k-1}(n))$. Is it true, for any $m,n$, there exist $i$ and $j$ such that $h_i(m)=h_j(n)$?"
415,open,45,4,open,no,no,['number theory'],https://www.erdosproblems.com/415,"For any $n$ let $F(n)$ be the largest $k$ such that any of the $k!$ possible ordering patterns appears in some sequence of $\phi(m+1),\ldots,\phi(m+k)$ with $m+k\leq n$. Is it true that\[F(n)=(c+o(1))\log\log\log n\]for some constant $c$? Is the first pattern which fails to appear always\[\phi(m+1)>\phi(m+2)>\cdots >\phi(m+k)?\]Is it true that the 'natural' ordering which mimics what happens to $\phi(1),\ldots,\phi(k)$ is the most likely to appear?"
416,open,63,0,open,yes,no,['number theory'],https://www.erdosproblems.com/416,Let $V(x)$ count the number of $n\leq x$ such that $\phi(m)=n$ is solvable. Does $V(2x)/V(x)\to 2$? Is there an asymptotic formula for $V(x)$?
417,open,56,3,open,yes,no,['number theory'],https://www.erdosproblems.com/417,Let\[V'(x)=\#\{\phi(m) : 1\leq m\leq x\}\]and\[V(x)=\#\{\phi(m) \leq x : 1\leq m\}.\]Does $\lim V(x)/V'(x)$ exist? Is it $>1$?
418,proved (Lean),12,9,,yes,no,['number theory'],https://www.erdosproblems.com/418,Are there infinitely many positive integers not of the form $n-\phi(n)$?
419,solved (Lean),18,1,,no,no,"['number theory', 'factorials']",https://www.erdosproblems.com/419,"If $\tau(n)$ counts the number of divisors of $n$, then what is the set of limit points of\[\frac{\tau((n+1)!)}{\tau(n!)}?\]"
420,open,49,1,open,no,no,['number theory'],https://www.erdosproblems.com/420,"If $\tau(n)$ counts the number of divisors of $n$ then let\[F(f,n)=\frac{\tau((n+\lfloor f(n)\rfloor)!)}{\tau(n!)}.\]Is it true that\[\lim_{n\to \infty}F((\log n)^C,n)=\infty\]for large $C$? 
Is it true that $F(\log n,n)$ is everywhere dense in $(1,\infty)$? 
More generally, if $f(n)\leq \log n$ is a monotonic function such that $f(n)\to \infty$ as $n\to \infty$, then is $F(f,n)$ everywhere dense?"
421,open,52,24,open,yes,no,['number theory'],https://www.erdosproblems.com/421,Is there a sequence $1\leq d_1<d_2<\cdots$ with density $1$ such that all products $\prod_{u\leq i\leq v}d_i$ are distinct?
422,open,60,2,open,yes,no,['number theory'],https://www.erdosproblems.com/422,Let $f(1)=f(2)=1$ and for $n>2$\[f(n) = f(n-f(n-1))+f(n-f(n-2)).\]Does $f(n)$ miss infinitely many integers? What is its behaviour?
423,open,46,38,open,no,no,['number theory'],https://www.erdosproblems.com/423,Let $a_1=1$ and $a_2=2$ and for $k\geq 3$ choose $a_k$ to be the least integer $>a_{k-1}$ which is the sum of at least two consecutive terms of the sequence. What is the asymptotic behaviour of this sequence?
424,open,63,0,open,yes,no,['number theory'],https://www.erdosproblems.com/424,"Let $a_1=2$ and $a_2=3$ and continue the sequence by appending to $a_1,\ldots,a_n$ all possible values of $a_ia_j-1$ with $i\neq j$. Is it true that the set of integers which eventually appear has positive density?"
425,open,52,0,open,no,no,"['number theory', 'sidon sets']",https://www.erdosproblems.com/425,"Let $F(n)$ be the maximum possible size of a subset $A\subseteq\{1,\ldots,N\}$ such that the products $ab$ are distinct for all $a<b$. Is there a constant $c$ such that\[F(n)=\pi(n)+(c+o(1))n^{3/4}(\log n)^{-3/2}?\]If $A\subseteq \{1,\ldots,n\}$ is such that all products $a_1\cdots a_r$ are distinct for $a_1<\cdots <a_r$ then is it true that\[\lvert A\rvert \leq \pi(n)+O(n^{\frac{r+1}{2r}})?\]"
426,disproved (Lean),15,2,,no,$25,['graph theory'],https://www.erdosproblems.com/426,We say $H$ is a unique subgraph of $G$ if there is exactly one way to find $H$ as a subgraph (not necessarily induced) of $G$. Is there a graph on $n$ vertices with\[\gg \frac{2^{\binom{n}{2}}}{n!}\]many distinct unique subgraphs?
427,proved,16,1,,yes,no,"['number theory', 'primes']",https://www.erdosproblems.com/427,"Is it true that, for every $n$ and $d$, there exists $k$ such that\[d \mid p_{n+1}+\cdots+p_{n+k},\]where $p_r$ denotes the $r$th prime?"
428,open,59,0,open,yes,no,"['number theory', 'primes']",https://www.erdosproblems.com/428,"Is there a set $A\subseteq \mathbb{N}$ such that, for infinitely many $n$, all of $n-a$ are prime for all $a\in A$ with $00?\]"
429,disproved (Lean),14,1,,no,no,['number theory'],https://www.erdosproblems.com/429,"Is it true that, if $A\subseteq \mathbb{N}$ is sparse enough and does not cover all residue classes modulo $p$ for any prime $p$, then there exists some $n$ such that $n+a$ is prime for all $a\in A$?"
430,open,52,0,open,no,no,['number theory'],https://www.erdosproblems.com/430,"Fix some integer $n$ and define a decreasing sequence in $[1,n)$ by $a_1=n-1$ and, for $k\geq 2$, letting $a_k$ be the greatest integer in $[1,a_{k-1})$ such that all of the prime factors of $a_k$ are $>n-a_k$.
Is it true that, for sufficiently large $n$, not all of this sequence can be prime?"
431,open,53,0,open,no,no,"['number theory', 'primes']",https://www.erdosproblems.com/431,Are there two infinite sets $A$ and $B$ such that $A+B$ agrees with the set of prime numbers up to finitely many exceptions?
432,open,57,0,open,no,no,['number theory'],https://www.erdosproblems.com/432,"Let $A,B\subseteq \mathbb{N}$ be two infinite sets. How dense can $A+B$ be if all elements of $A+B$ are pairwise relatively prime?"
433,proved (Lean),5,4,,no,no,['number theory'],https://www.erdosproblems.com/433,"If $A\subset \mathbb{N}$ is a finite set then let $G(A)$ denote the greatest integer which is not expressible as a finite sum of elements from $A$ (with repetitions allowed). Let\[g(k,n)=\max G(A)\]where the maximum is taken over all $A\subseteq \{1,\ldots,n\}$ of size $\lvert A\rvert=k$ which has no common divisor. Is it true that\[g(k,n)\sim \frac{n^2}{k-1}?\]"
434,proved (Lean),7,8,,yes,no,['number theory'],https://www.erdosproblems.com/434,"Let $k\leq n$. What choice of $A\subseteq \{1,\ldots,n\}$ (with $\mathrm{gcd}(A)=1$) of size $\lvert A\rvert=k$ maximises the number of integers not representable as the sum of finitely many elements from $A$ (with repetitions allowed)? Is it $\{n,n-1,\ldots,n-k+1\}$?"
435,proved (Lean),6,8,,no,no,['number theory'],https://www.erdosproblems.com/435,Let $n\in\mathbb{N}$ with $n\neq p^k$ for any prime $p$ and $k\geq 0$. What is the largest integer not of the form\[\sum_{1\leq i<n}c_i\binom{n}{i}\]where the $c_i\geq 0$ are integers?
436,open,45,3,open,no,no,['number theory'],https://www.erdosproblems.com/436,"If $p$ is a prime and $k,m\geq 2$ then let $r(k,m,p)$ be the minimal $r$ such that $r,r+1,\ldots,r+m-1$ are all $k$th power residues modulo $p$. Let\[\Lambda(k,m)=\limsup_{p\to \infty} r(k,m,p).\]Is it true that $\Lambda(k,2)$ is finite for all $k$? Is $\Lambda(k,3)$ finite for all odd $k$? How large are they?"
437,proved,17,0,,no,no,['number theory'],https://www.erdosproblems.com/437,"Let $1\leq a_10$, there can be more than $x^{1-\epsilon}$ squares?"
438,solved,17,0,,no,no,['number theory'],https://www.erdosproblems.com/438,"How large can $A\subseteq \{1,\ldots,N\}$ be if $A+A$ contains no square numbers?"
439,proved,13,0,,no,no,"['number theory', 'ramsey theory']",https://www.erdosproblems.com/439,"Is it true that, in any finite colouring of the integers, there must be two integers $x\neq y$ of the same colour such that $x+y$ is a square? What about a $k$th power?"
440,solved,6,8,,no,no,['number theory'],https://www.erdosproblems.com/440,"Let $A=\{a_1<a_2<\cdots\}\subseteq \mathbb{N}$ be infinite and let $A(x)$ count the number of indices for which $\mathrm{lcm}(a_i,a_{i+1})\leq x$. Is it true that $A(x) \ll x^{1/2}$? 
How large can\[\liminf \frac{A(x)}{x^{1/2}}\]be?"
441,disproved,12,0,,no,no,['number theory'],https://www.erdosproblems.com/441,"Let $N\geq 1$. What is the size of the largest $A\subset \{1,\ldots,N\}$ such that $[a,b]\leq N$ for all $a,b\in A$, where $[a,b]$ is the least common multiple of $a$ and $b$?
Is it attained by choosing all integers in $[1,(N/2)^{1/2}]$ together with all even integers in $[(N/2)^{1/2},(2N)^{1/2}]$?"
442,disproved,18,0,,yes,no,['number theory'],https://www.erdosproblems.com/442,"Is it true that if $A\subseteq\mathbb{N}$ is such that\[\frac{1}{\log\log x}\sum_{n\in A\cap [1,x)}\frac{1}{n}\to \infty\]then\[\left(\sum_{n\in A\cap [1,x)}\frac{1}{n}\right)^{-2} \sum_{\substack{a,b\in A\cap (1,x]\\ a<b}}\frac{1}{\mathrm{lcm}(a,b)}\to \infty?\]"
443,proved (Lean),10,3,,no,no,['number theory'],https://www.erdosproblems.com/443,"Let $m,n\geq 1$. What is\[\# \{ k(m-k) : 1\leq k\leq m/2\} \cap \{ l(n-l) : 1\leq l\leq n/2\}?\]Can it be arbitrarily large? Is it $\leq (mn)^{o(1)}$ for all sufficiently large $m,n$?"
444,proved,21,0,,no,no,"['number theory', 'divisors']",https://www.erdosproblems.com/444,"Let $A\subseteq\mathbb{N}$ be infinite and $d_A(n)$ count the number of $a\in A$ which divide $n$. Is it true that, for every $k$,\[\limsup_{x\to \infty} \frac{\max_{n<x}d_A(n)}{\left(\sum_{n\in A\cap[1,x)}\frac{1}{n}\right)^k}=\infty?\]"
445,open,60,1,open,yes,no,['number theory'],https://www.erdosproblems.com/445,"Is it true that, for any $c>1/2$, if $p$ is a sufficiently large prime then, for any $n\geq 0$, there exist $a,b\in(n,n+p^c)$ such that $ab\equiv 1\pmod{p}$?"
446,solved,16,0,,no,no,"['number theory', 'divisors']",https://www.erdosproblems.com/446,"Let $\delta(n)$ denote the density of integers which are divisible by some integer in $(n,2n)$. What is the growth rate of $\delta(n)$?
If $\delta_1(n)$ is the density of integers which have exactly one divisor in $(n,2n)$ then is it true that $\delta_1(n)=o(\delta(n))$?"
447,proved (Lean),9,1,,no,no,['combinatorics'],https://www.erdosproblems.com/447,"How large can a union-free collection $\mathcal{F}$ of subsets of $[n]$ be? By union-free we mean there are no solutions to $A\cup B=C$ with distinct $A,B,C\in \mathcal{F}$. Must $\lvert \mathcal{F}\rvert =o(2^n)$? Perhaps even\[\lvert \mathcal{F}\rvert <(1+o(1))\binom{n}{\lfloor n/2\rfloor}?\]"
448,disproved,21,0,,no,no,"['number theory', 'divisors']",https://www.erdosproblems.com/448,"Let $\tau(n)$ count the divisors of $n$ and $\tau^+(n)$ count the number of $k$ such that $n$ has a divisor in $[2^k,2^{k+1})$. Is it true that, for all $\epsilon>0$,\[\tau^+(n) < \epsilon \tau(n)\]for almost all $n$?"
449,disproved,18,2,,no,no,"['number theory', 'divisors']",https://www.erdosproblems.com/449,"Let $r(n)$ count the number of $d_1,d_2$ such that $d_1\mid n$ and $d_2\mid n$ and $d_10$,\[r(n) < \epsilon \tau(n)\]for almost all $n$, where $\tau(n)$ is the number of divisors of $n$?"
450,open,61,0,open,no,no,"['number theory', 'divisors']",https://www.erdosproblems.com/450,"How large must $y=y(\epsilon,n)$ be such that the number of integers in $(x,x+y)$ with a divisor in $(n,2n)$ is at most $\epsilon y$?"
451,open,58,3,partial,no,no,['number theory'],https://www.erdosproblems.com/451,"Estimate $n_k$, the smallest integer $>2k$ such that $\prod_{1\leq i\leq k}(n_k-i)$ has no prime factor in $(k,2k)$."
452,open,57,0,open,no,no,['number theory'],https://www.erdosproblems.com/452,"Let $\omega(n)$ count the number of distinct prime factors of $n$. What is the size of the largest interval $I\subseteq [x,2x]$ such that $\omega(n)>\log\log n$ for all $n\in I$?"
453,disproved (Lean),14,1,,no,no,['number theory'],https://www.erdosproblems.com/453,"Is it true that, for all sufficiently large $n$, there exists some $i<n$ such that\[p_n^2 < p_{n+i}p_{n-i},\]where $p_k$ is the $k$th prime?"
454,open,56,1,open,yes,no,"['number theory', 'primes']",https://www.erdosproblems.com/454,"Let\[f(n) = \min_{i<n} (p_{n+i}+p_{n-i}),\]where $p_k$ is the $k$th prime. Is it true that\[\limsup_n (f(n)-2p_n)=\infty?\]"
455,open,63,0,open,yes,no,['number theory'],https://www.erdosproblems.com/455,Let $q_1<q_2<\cdots$ be a sequence of primes such that\[q_{n+1}-q_n\geq q_n-q_{n-1}.\]Must\[\lim_n \frac{q_n}{n^2}=\infty?\]
456,open,49,2,open,no,no,['number theory'],https://www.erdosproblems.com/456,"Let $p_n$ be the smallest prime $\equiv 1\pmod{n}$ and let $m_n$ be the smallest integer such that $n\mid \phi(m_n)$.
Is it true that $m_n<p_n$ for almost all $n$? Does $p_n/m_n\to \infty$ for almost all $n$? Are there infinitely many primes $p$ such that $p-1$ is the only $n$ for which $m_n=p$?"
457,proved (Lean),12,10,,yes,no,['number theory'],https://www.erdosproblems.com/457,Is there some $\epsilon>0$ such that there are infinitely many $n$ where all primes $p\leq (2+\epsilon)\log n$ divide\[\prod_{1\leq i\leq \log n}(n+i)?\]
458,falsifiable,81,1,open,yes,no,"['number theory', 'primes']",https://www.erdosproblems.com/458,"Let $[1,\ldots,n]$ denote the least common multiple of $\{1,\ldots,n\}$. Is it true that, for all $k\geq 1$,\[[1,\ldots,p_{k+1}-1]< p_k[1,\ldots,p_k]?\]"
