id	n	tau	factorization
448	2856100	45	2^2*5^2*13^4
449	2869636	45	2^2*7^2*11^4
450	2890000	75	2^4*5^4*17^2
451	2893401	33	3^10*7^2
452	2924100	135	2^2*3^4*5^2*19^2
453	2941225	21	5^2*7^6
454	2944656	135	2^4*3^2*11^2*13^2
455	2985984	91	2^12*3^6
456	2989441	27	7^2*13^2*19^2
457	3006756	45	2^2*3^2*17^4
458	3062500	63	2^2*5^6*7^2
459	3080025	63	3^6*5^2*13^2
460	3097600	99	2^10*5^2*11^2
461	3111696	125	2^4*3^4*7^4
462	3125824	63	2^6*13^2*17^2
463	3175524	81	2^2*3^8*11^2
464	3186225	81	3^2*5^2*7^2*17^2
465	3211264	51	2^16*7^2
466	3240000	175	2^6*3^4*5^4
467	3258025	15	5^2*19^4
468	3294225	45	3^2*5^2*11^4
469	3312400	135	2^4*5^2*7^2*13^2
470	3326976	99	2^10*3^2*19^2
471	3370896	105	2^4*3^6*17^2
472	3415104	189	2^6*3^2*7^2*11^2
473	3455881	15	11^2*13^4
474	3467044	45	2^2*7^4*19^2
475	3496900	81	2^2*5^2*11^2*17^2
476	3504384	135	2^8*3^4*13^2
477	3515625	27	3^2*5^8
478	3538161	45	3^4*11^2*19^2
479	3572100	189	2^2*3^6*5^2*7^2
480	3610000	75	2^4*5^4*19^2
481	3625216	81	2^8*7^2*17^2
482	3651921	45	3^2*7^4*13^2
483	3686400	135	2^14*3^2*5^2
484	3705625	45	5^4*7^2*11^2
485	3748096	45	2^8*11^4
486	3755844	81	2^2*3^2*17^2*19^2
487	3779136	77	2^6*3^10
488	3802500	135	2^2*3^2*5^4*13^2
489	3841600	105	2^6*5^2*7^4
490	3904576	63	2^6*13^2*19^2
491	3920400	225	2^4*3^4*5^2*11^2
492	3956121	45	3^4*13^2*17^2
493	3980025	81	3^2*5^2*7^2*19^2
494	4000000	63	2^8*5^6
495	4008004	81	2^2*7^2*11^2*13^2
496	4064256	165	2^10*3^4*7^2
497	4092529	15	7^2*17^4
498	4100625	45	3^8*5^4
499	4112784	75	2^4*3^2*13^4
500	4161600	189	2^6*3^2*5^2*17^2
501	4194304	23	2^22
502	4210704	105	2^4*3^6*19^2
503	4231249	15	11^4*17^2
504	4235364	63	2^2*3^2*7^6
505	4322241	63	3^6*7^2*11^2
506	4326400	99	2^10*5^2*13^2
507	4368100	81	2^2*5^2*11^2*19^2
508	4410000	225	2^4*3^2*5^4*7^2
509	4435236	81	2^2*3^8*13^2
510	4460544	117	2^12*3^2*11^2
511	4515625	21	5^6*17^2
512	4528384	81	2^8*7^2*19^2
513	4588164	135	2^2*3^4*7^2*17^2
514	4601025	81	3^2*5^2*11^2*13^2
515	4648336	75	2^4*7^4*11^2
516	4665600	189	2^8*3^6*5^2
517	4691556	45	2^2*3^2*19^4
518	4734976	45	2^14*17^2
519	4743684	75	2^2*3^4*11^4
520	4769856	189	2^6*3^2*7^2*13^2
521	4782969	15	3^14
522	4826809	7	13^6
523	4840000	105	2^6*5^4*11^2
524	4862025	75	3^4*5^2*7^4
525	4884100	81	2^2*5^2*13^2*17^2
526	4941729	45	3^4*13^2*19^2
527	5017600	117	2^12*5^2*7^2
528	5035536	135	2^4*3^2*11^2*17^2
529	5062500	105	2^2*3^4*5^6
530	5112121	27	7^2*17^2*19^2
531	5143824	135	2^4*3^8*7^2
532	5175625	45	5^4*7^2*13^2
533	5198400	189	2^6*3^2*5^2*19^2
534	5234944	81	2^8*11^2*13^2
535	5267025	63	3^6*5^2*17^2
536	5285401	15	11^4*19^2
537	5308416	85	2^16*3^4
538	5336100	243	2^2*3^2*5^2*7^2*11^2
539	5345344	35	2^6*17^4
540	5475600	225	2^4*3^4*5^2*13^2
541	5531904	135	2^8*3^2*7^4
542	5597956	45	2^2*7^2*13^4
543	5640625	21	5^6*19^2
544	5645376	147	2^6*3^6*11^2
545	5664400	135	2^4*5^2*7^2*17^2
546	5731236	135	2^2*3^4*7^2*19^2
547	5760000	165	2^10*3^2*5^4
548	5764801	9	7^8
549	5856400	75	2^4*5^2*11^4
550	5904900	99	2^2*3^10*5^2
551	5909761	27	11^2*13^2*17^2
552	5914624	45	2^14*19^2
553	5992704	135	2^8*3^4*17^2
554	6002500	75	2^2*5^4*7^4
555	6036849	63	3^6*7^2*13^2
556	6071296	99	2^10*7^2*11^2
557	6100900	81	2^2*5^2*13^2*19^2
558	6125625	75	3^4*5^4*11^2
559	6230016	117	2^12*3^2*13^2
560	6245001	45	3^2*7^4*17^2
561	6250000	45	2^4*5^8
562	6290064	135	2^4*3^2*11^2*19^2
563	6350400	315	2^6*3^4*5^2*7^2
564	6385729	15	7^2*19^4
565	6426225	45	3^2*5^2*13^4
566	6456681	45	3^2*7^2*11^4
567	6492304	75	2^4*7^4*13^2
568	6502500	135	2^2*3^2*5^4*17^2
569	6553600	57	2^18*5^2
570	6579225	63	3^6*5^2*19^2
571	6625476	135	2^2*3^4*11^2*13^2
572	6677056	63	2^6*17^2*19^2
573	6718464	99	2^10*3^8
574	6760000	105	2^6*5^4*13^2
575	6765201	25	3^4*17^4
576	6853924	81	2^2*7^2*11^2*17^2
577	6890625	63	3^2*5^6*7^2
578	6969600	243	2^8*3^2*5^2*11^2
579	7001316	105	2^2*3^6*7^4
580	7033104	135	2^4*3^2*13^2*17^2
581	7075600	135	2^4*5^2*7^2*19^2
582	7086244	21	2^2*11^6
583	7144929	33	3^10*11^2
584	7225344	135	2^14*3^2*7^2
585	7263025	45	5^2*7^4*11^2
586	7290000	175	2^4*3^6*5^4
587	7311616	45	2^8*13^4
588	7382089	27	11^2*13^2*19^2
589	7398400	99	2^10*5^2*17^2
590	7452900	243	2^2*3^2*5^2*7^2*13^2
591	7485696	135	2^8*3^4*19^2
592	7529536	49	2^6*7^6
593	7562500	63	2^2*5^6*11^2
594	7584516	81	2^2*3^8*17^2
595	7683984	225	2^4*3^4*7^2*11^2
596	7800849	45	3^2*7^4*19^2
597	7840000	135	2^8*5^4*7^2
598	7868025	81	3^2*5^2*11^2*17^2
599	7884864	147	2^6*3^6*13^2
600	7929856	51	2^16*11^2
601	8037225	81	3^8*5^2*7^2
602	8122500	135	2^2*3^2*5^4*19^2
603	8156736	189	2^6*3^2*7^2*17^2
604	8179600	135	2^4*5^2*11^2*13^2
605	8254129	15	13^4*17^2
606	8294400	195	2^12*3^4*5^2
607	8340544	35	2^6*19^4
608	8352100	45	2^2*5^2*17^4
609	8433216	105	2^6*3^2*11^4
610	8450649	45	3^4*17^2*19^2
611	8479744	99	2^10*7^2*13^2
612	8503056	65	2^4*3^12
613	8555625	75	3^4*5^4*13^2
614	8561476	81	2^2*7^2*11^2*19^2
615	8643600	225	2^4*3^2*5^2*7^4
616	8785296	135	2^4*3^2*13^2*19^2
617	8820900	189	2^2*3^6*5^2*11^2
618	8850625	45	5^4*7^2*17^2
619	8952064	81	2^8*11^2*17^2
620	9000000	147	2^6*3^2*5^6
621	9018009	81	3^2*7^2*11^2*13^2
622	9144576	189	2^8*3^6*7^2
623	9150625	25	5^4*11^4
624	9241600	99	2^10*5^2*19^2
625	9253764	75	2^2*3^4*13^4
626	9363600	225	2^4*3^4*5^2*17^2
627	9437184	63	2^20*3^2
628	9474084	81	2^2*3^8*19^2
629	9486400	189	2^6*5^2*7^2*11^2
630	9529569	35	3^4*7^6
631	9572836	81	2^2*7^2*13^2*17^2
632	9734400	243	2^8*3^2*5^2*13^2
633	9765625	11	5^10
634	9828225	81	3^2*5^2*11^2*19^2
635	9834496	65	2^12*7^4
636	9897316	45	2^2*11^4*13^2
637	9922500	225	2^2*3^4*5^4*7^2
638	9979281	33	3^10*13^2
639	10036224	165	2^10*3^4*11^2
640	10106041	15	11^2*17^4
641	10144225	45	5^2*7^4*13^2
642	10188864	189	2^6*3^2*7^2*19^2
643	10240000	75	2^14*5^4
644	10310521	15	13^4*19^2
645	10323369	63	3^6*7^2*17^2
646	10432900	81	2^2*5^2*17^2*19^2
647	10458756	135	2^2*3^2*7^4*11^2
648	10497600	189	2^6*3^8*5^2
649	10556001	25	3^4*19^4
650	10562500	63	2^2*5^6*13^2
651	10653696	117	2^12*3^2*17^2
652	10673289	35	3^6*11^4
653	10732176	225	2^4*3^4*7^2*13^2
654	10890000	225	2^4*3^2*5^4*11^2
655	10989225	81	3^2*5^2*13^2*17^2
656	11055625	45	5^4*7^2*19^2
657	11075584	51	2^16*13^2
658	11102224	75	2^4*7^4*17^2
659	11182336	81	2^8*11^2*19^2
660	11289600	297	2^10*3^2*5^2*7^2
661	11329956	135	2^2*3^4*11^2*17^2
662	11390625	49	3^6*5^6
663	11424400	75	2^4*5^2*13^4
664	11478544	75	2^4*7^2*11^4
665	11560000	105	2^6*5^4*17^2
666	11573604	99	2^2*3^10*7^2
667	11696400	225	2^4*3^4*5^2*19^2
668	11764900	63	2^2*5^2*7^6
669	11778624	189	2^6*3^2*11^2*13^2
670	11943936	105	2^14*3^6
671	11957764	81	2^2*7^2*13^2*19^2
672	12006225	135	3^4*5^2*7^2*11^2
673	12027024	75	2^4*3^2*17^4
674	12250000	105	2^4*5^6*7^2
675	12320100	189	2^2*3^6*5^2*13^2
676	12390400	117	2^12*5^2*11^2
677	12446784	175	2^6*3^4*7^4
678	12503296	81	2^8*13^2*17^2
679	12595401	45	3^2*7^2*13^4
680	12623809	27	11^2*17^2*19^2
681	12702096	135	2^4*3^8*11^2
682	12744900	243	2^2*3^2*5^2*7^2*17^2
683	12780625	45	5^4*11^2*13^2
684	12845056	57	2^18*7^2
685	12895281	63	3^6*7^2*19^2
686	12960000	225	2^8*3^4*5^4
687	13032100	45	2^2*5^2*19^4
688	13176900	135	2^2*3^2*5^2*11^4
689	13249600	189	2^6*5^2*7^2*13^2
690	13286025	39	3^12*5^2
691	13307904	117	2^12*3^2*19^2
692	13483584	147	2^6*3^6*17^2
693	13505625	75	3^2*5^4*7^4
694	13660416	243	2^8*3^2*7^2*11^2
695	13727025	81	3^2*5^2*13^2*19^2
696	13823524	45	2^2*11^2*13^4
697	13868176	75	2^4*7^4*19^2
698	13987600	135	2^4*5^2*11^2*17^2
699	14017536	165	2^10*3^4*13^2
700	14062500	81	2^2*3^2*5^8
701	14115049	15	13^2*17^4
702	14152644	135	2^2*3^4*11^2*19^2
703	14235529	21	7^6*11^2
704	14288400	315	2^4*3^6*5^2*7^2
705	14440000	105	2^6*5^4*19^2
706	14500864	99	2^10*7^2*17^2
707	14607684	135	2^2*3^2*7^4*13^2
708	14630625	75	3^4*5^4*17^2
709	14745600	153	2^16*3^2*5^2
710	14822500	135	2^2*5^4*7^2*11^2
711	14907321	63	3^6*11^2*13^2
712	14992384	55	2^10*11^4
713	15023376	135	2^4*3^2*17^2*19^2
714	15116544	99	2^8*3^10
715	15210000	225	2^4*3^2*5^4*13^2
716	15366400	135	2^8*5^2*7^4
717	15421329	81	3^2*7^2*11^2*17^2
718	15618304	81	2^8*13^2*19^2
719	15681600	315	2^6*3^4*5^2*11^2
720	15752961	45	3^8*7^4
721	15768841	15	11^2*19^4
722	15824484	135	2^2*3^4*13^2*17^2
723	15920100	243	2^2*3^2*5^2*7^2*19^2
724	15944049	21	3^2*11^6
725	16000000	77	2^10*5^6
726	16032016	135	2^4*7^2*11^2*13^2
727	16257024	195	2^12*3^4*7^2
728	16370116	45	2^2*7^2*17^4
729	16402500	135	2^2*3^8*5^4
730	16451136	105	2^6*3^2*13^4
731	16646400	243	2^8*3^2*5^2*17^2
732	16769025	135	3^4*5^2*7^2*13^2
733	16777216	25	2^24
734	16842816	147	2^6*3^6*19^2
735	16924996	45	2^2*11^4*17^2
736	16941456	105	2^4*3^2*7^6
737	17015625	63	3^2*5^6*11^2
738	17065161	33	3^10*17^2
739	17288964	189	2^2*3^6*7^2*11^2
740	17305600	117	2^12*5^2*13^2
741	17347225	45	5^2*7^4*17^2
742	17472400	135	2^4*5^2*11^2*19^2
743	17631601	27	13^2*17^2*19^2
744	17640000	315	2^6*3^2*5^4*7^2
745	17740944	135	2^4*3^8*13^2
746	17842176	135	2^14*3^2*11^2
747	17850625	25	5^4*13^4
748	17935225	45	5^2*7^2*11^4
749	18062500	63	2^2*5^6*17^2
750	18113536	99	2^10*7^2*19^2
751	18275625	75	3^4*5^4*19^2
752	18352656	225	2^4*3^4*7^2*17^2
753	18404100	243	2^2*3^2*5^2*11^2*13^2
754	18593344	105	2^6*7^4*11^2
755	18662400	231	2^10*3^6*5^2
756	18766224	75	2^4*3^2*19^4
757	18792225	45	3^2*5^2*17^4
758	18939904	51	2^16*17^2
759	18974736	125	2^4*3^4*11^4
760	19079424	243	2^8*3^2*7^2*13^2
761	19131876	45	2^2*3^14
762	19140625	27	5^8*7^2
763	19263321	81	3^2*7^2*11^2*19^2
764	19307236	21	2^2*13^6
765	19360000	135	2^8*5^4*11^2
766	19448100	225	2^2*3^4*5^2*7^4
767	19536400	135	2^4*5^2*13^2*17^2
768	19766916	135	2^2*3^4*13^2*19^2
769	19847025	81	3^8*5^2*11^2
770	19882681	21	7^6*13^2
771	20070400	135	2^14*5^2*7^2
772	20142144	189	2^6*3^2*11^2*17^2
773	20250000	175	2^4*3^4*5^6
774	20448484	81	2^2*7^2*17^2*19^2
775	20575296	189	2^6*3^8*7^2
776	20702500	135	2^2*5^4*7^2*13^2
777	20793600	243	2^8*3^2*5^2*19^2
778	20820969	35	3^6*13^4
779	20939776	99	2^10*11^2*13^2
780	21068100	189	2^2*3^6*5^2*17^2
781	21141604	45	2^2*11^4*19^2
782	21233664	95	2^18*3^4
783	21316689	33	3^10*19^2
784	21344400	405	2^4*3^2*5^2*7^2*11^2
785	21381376	45	2^8*17^4
786	21538881	81	3^2*7^2*13^2*17^2
787	21669025	45	5^2*7^4*19^2
788	21855625	45	5^4*11^2*17^2
789	21902400	315	2^6*3^4*5^2*13^2
790	22024249	15	13^2*19^4
791	22127616	165	2^10*3^2*7^4
792	22268961	45	3^2*11^4*13^2
793	22325625	105	3^6*5^4*7^2
794	22391824	75	2^4*7^2*13^4
795	22562500	63	2^2*5^6*19^2
796	22581504	189	2^8*3^6*11^2
797	22657600	189	2^6*5^2*7^2*17^2
798	22924944	225	2^4*3^4*7^2*19^2
799	23040000	195	2^12*3^2*5^4
800	23059204	27	2^2*7^8
801	23425600	105	2^6*5^2*11^4
802	23474025	81	3^2*5^2*17^2*19^2
803	23532201	75	3^4*7^4*11^2
804	23619600	165	2^4*3^10*5^2
805	23639044	81	2^2*11^2*13^2*17^2
806	23658496	51	2^16*19^2
807	23765625	63	3^2*5^6*13^2
808	23970816	165	2^10*3^4*17^2
809	24010000	125	2^4*5^4*7^4
810	24137569	7	17^6
811	24147396	189	2^2*3^6*7^2*13^2
812	24285184	117	2^12*7^2*11^2
813	24403600	135	2^4*5^2*13^2*19^2
814	24502500	225	2^2*3^4*5^4*11^2
815	24920064	135	2^14*3^2*13^2
816	24980004	135	2^2*3^2*7^4*17^2
817	25000000	63	2^6*5^8
818	25050025	81	5^2*7^2*11^2*13^2
819	25160256	189	2^6*3^2*11^2*19^2
820	25401600	405	2^8*3^4*5^2*7^2
821	25492401	63	3^6*11^2*17^2
822	25542916	45	2^2*7^2*19^4
823	25704900	135	2^2*3^2*5^2*13^4
824	25826724	135	2^2*3^2*7^2*11^4
825	25969216	105	2^6*7^4*13^2
826	26010000	225	2^4*3^2*5^4*17^2
827	26040609	39	3^12*7^2
828	26214400	63	2^20*5^2
829	26316900	189	2^2*3^6*5^2*19^2
830	26471025	63	3^2*5^2*7^6
831	26501904	225	2^4*3^4*11^2*13^2
832	26708224	81	2^8*17^2*19^2
833	26873856	117	2^12*3^8
834	26904969	81	3^2*7^2*13^2*19^2
835	27040000	135	2^8*5^4*13^2
836	27060804	75	2^2*3^4*17^4
837	27300625	45	5^4*11^2*19^2
838	27415696	135	2^4*7^2*11^2*17^2
839	27562500	189	2^2*3^2*5^6*7^2
840	27720225	81	3^8*5^2*13^2
841	27878400	297	2^10*3^2*5^2*11^2
842	28005264	175	2^4*3^6*7^4
843	28132416	189	2^6*3^2*13^2*17^2
844	28302400	189	2^6*5^2*7^2*19^2
845	28344976	35	2^4*11^6
846	28579716	99	2^2*3^10*11^2
847	28676025	135	3^4*5^2*7^2*17^2
848	28901376	153	2^16*3^2*7^2
849	29052100	135	2^2*5^2*7^4*11^2
850	29160000	245	2^6*3^6*5^4
851	29246464	55	2^10*13^4
852	29322225	45	3^2*5^2*19^4
853	29528356	81	2^2*11^2*13^2*19^2
854	29593600	117	2^12*5^2*17^2
855	29648025	75	3^4*5^2*11^4
856	29811600	405	2^4*3^2*5^2*7^2*13^2
857	29942784	165	2^10*3^4*19^2
858	30118144	63	2^8*7^6
859	30151081	15	17^4*19^2
860	30250000	105	2^4*5^6*11^2
861	30338064	135	2^4*3^8*17^2
862	30525625	45	5^4*13^2*17^2
863	30735936	315	2^6*3^4*7^2*11^2
864	31102929	45	3^2*11^2*13^4
865	31203396	135	2^2*3^2*7^4*19^2
866	31360000	165	2^10*5^4*7^2
867	31472100	243	2^2*3^2*5^2*11^2*17^2
868	31539456	189	2^8*3^6*13^2
869	31640625	45	3^4*5^8
870	31719424	57	2^18*11^2
871	31843449	63	3^6*11^2*19^2
872	32148900	243	2^2*3^8*5^2*7^2
873	32490000	225	2^4*3^2*5^4*19^2
874	32626944	243	2^8*3^2*7^2*17^2
875	32718400	189	2^6*5^2*11^2*13^2
876	32867289	75	3^4*7^4*13^2
877	33016516	45	2^2*13^4*17^2
878	33177600	225	2^14*3^4*5^2
879	33350625	135	3^2*5^4*7^2*11^2
880	33362176	45	2^8*19^4
881	33408400	75	2^4*5^2*17^4
882	33732864	135	2^8*3^2*11^4
883	33802596	135	2^2*3^4*17^2*19^2
884	33918976	117	2^12*7^2*13^2
885	34000561	21	7^6*17^2
886	34012224	91	2^6*3^12
887	34222500	225	2^2*3^4*5^4*13^2
888	34245904	135	2^4*7^2*11^2*19^2
889	34574400	315	2^6*3^2*5^2*7^4
890	34987225	45	5^2*7^2*13^4
891	35141184	189	2^6*3^2*13^2*19^2
892	35153041	25	7^4*11^4
893	35283600	315	2^4*3^6*5^2*11^2
894	35402500	135	2^2*5^4*7^2*17^2
895	35605089	63	3^6*13^2*17^2
896	35808256	99	2^10*11^2*17^2
897	35820225	135	3^4*5^2*7^2*19^2
898	36000000	189	2^8*3^2*5^6
899	36072036	243	2^2*3^2*7^2*11^2*13^2
900	36578304	231	2^10*3^6*7^2
901	36602500	75	2^2*5^4*11^4
902	36832761	45	3^2*7^2*17^4
903	36905625	55	3^10*5^4
904	36966400	117	2^12*5^2*19^2
905	37015056	125	2^4*3^4*13^4
906	37454400	315	2^6*3^4*5^2*17^2
907	37515625	35	5^6*7^4
908	37662769	15	17^2*19^4
909	37748736	69	2^22*3^2
910	37896336	135	2^4*3^8*19^2
911	37945600	243	2^8*5^2*7^2*11^2
912	38081241	45	3^2*11^4*17^2
913	38118276	105	2^2*3^4*7^6
914	38130625	45	5^4*13^2*19^2
915	38291344	135	2^4*7^2*13^2*17^2
916	38900169	81	3^8*7^2*11^2
917	38937600	297	2^10*3^2*5^2*13^2
918	39062500	33	2^2*5^10
919	39312900	243	2^2*3^2*5^2*11^2*19^2
920	39337984	75	2^14*7^4
921	39589264	75	2^4*11^4*13^2
922	39690000	375	2^4*3^4*5^4*7^2
923	39917124	99	2^2*3^10*13^2
924	40144896	195	2^12*3^4*11^2
925	40424164	45	2^2*11^2*17^4
926	40576900	135	2^2*5^2*7^4*13^2
927	40640625	63	3^2*5^6*17^2
928	40755456	243	2^8*3^2*7^2*19^2
929	40960000	85	2^16*5^4
930	41242084	45	2^2*13^4*19^2
931	41293476	189	2^2*3^6*7^2*17^2
932	41409225	135	3^4*5^2*11^2*13^2
933	41731600	135	2^4*5^2*17^2*19^2
934	41835024	225	2^4*3^2*7^4*11^2
935	41990400	243	2^8*3^8*5^2
936	42224004	75	2^2*3^4*19^4
937	42250000	105	2^4*5^6*13^2
938	42471289	21	7^6*19^2
939	42614784	135	2^14*3^2*17^2
940	42693156	105	2^2*3^6*11^4
941	42837025	81	5^2*7^2*11^2*17^2
942	42928704	315	2^6*3^4*7^2*13^2
943	43046721	17	3^16
944	43441281	21	3^2*13^6
945	43560000	315	2^6*3^2*5^4*11^2
946	43758225	105	3^6*5^2*7^4
947	43956900	243	2^2*3^2*5^2*13^2*17^2
948	44222500	135	2^2*5^4*7^2*19^2
949	44289025	21	5^2*11^6
950	44302336	57	2^18*13^2
951	44408896	105	2^6*7^4*17^2
952	44475561	63	3^6*13^2*19^2
953	44729344	99	2^10*11^2*19^2
954	45158400	351	2^12*3^2*5^2*7^2
955	45319824	225	2^4*3^4*11^2*17^2
956	45562500	147	2^2*3^6*5^6
957	45697600	105	2^6*5^2*13^4
958	45914176	105	2^6*7^2*11^4
959	46009089	81	3^2*7^2*17^2*19^2
960	46240000	135	2^8*5^4*17^2
961	46294416	165	2^4*3^10*7^2
962	46580625	135	3^2*5^4*7^2*13^2
963	46785600	315	2^6*3^4*5^2*19^2
964	47045881	7	19^6
965	47059600	105	2^4*5^2*7^6
966	47114496	243	2^8*3^2*11^2*13^2
967	47265625	27	5^8*11^2
968	47403225	81	3^8*5^2*17^2
969	47568609	45	3^2*11^4*19^2
970	47775744	119	2^16*3^6
971	47831056	135	2^4*7^2*13^2*19^2
972	48024900	405	2^2*3^4*5^2*7^2*11^2
973	48108096	105	2^6*3^2*17^4
974	49000000	147	2^6*5^6*7^2
975	49098049	45	7^4*11^2*13^2
976	49280400	315	2^4*3^6*5^2*13^2
977	49561600	135	2^14*5^2*11^2
978	49787136	225	2^8*3^4*7^4
979	50013184	99	2^10*13^2*17^2
980	50381604	135	2^2*3^2*7^2*13^4
981	50495236	81	2^2*11^2*17^2*19^2
982	50765625	63	3^2*5^6*19^2
983	50808384	189	2^6*3^8*11^2
984	50979600	405	2^4*3^2*5^2*7^2*17^2
985	51122500	135	2^2*5^4*11^2*13^2
986	51380224	63	2^20*7^2
987	51581124	189	2^2*3^6*7^2*19^2
988	51840000	275	2^10*3^4*5^4
989	51883209	27	3^2*7^8
990	52128400	75	2^4*5^2*19^4
991	52200625	25	5^4*17^4
992	52707600	225	2^4*3^2*5^2*11^4
993	52998400	243	2^8*5^2*7^2*13^2
994	53144100	117	2^2*3^12*5^2
995	53187849	81	3^2*11^2*13^2*17^2
996	53231616	135	2^14*3^2*19^2
997	53509225	81	5^2*7^2*11^2*19^2
998	53934336	189	2^8*3^6*17^2
999	54022500	225	2^2*3^2*5^4*7^4
1000	54331641	81	3^8*7^2*13^2
1001	54641664	297	2^10*3^2*7^2*11^2
1002	54908100	243	2^2*3^2*5^2*13^2*19^2
1003	55130625	105	3^6*5^4*11^2
1004	55294096	75	2^4*11^2*13^4
1005	55472704	105	2^6*7^4*19^2
1006	55950400	189	2^6*5^2*11^2*17^2
1007	56070144	195	2^12*3^4*13^2
1008	56205009	75	3^4*7^4*17^2
1009	56250000	135	2^4*3^2*5^8
1010	56460196	45	2^2*13^2*17^4
1011	56610576	225	2^4*3^4*11^2*19^2
1012	56942116	63	2^2*7^6*11^2
1013	57153600	441	2^6*3^6*5^2*7^2
1014	57471561	45	3^2*7^2*19^4
1015	57760000	135	2^8*5^4*19^2
1016	57836025	75	3^4*5^2*13^4
1017	58003456	117	2^12*7^2*17^2
1018	58110129	75	3^4*7^2*11^4
1019	58430736	225	2^4*3^2*7^4*13^2
1020	58522500	225	2^2*3^4*5^4*17^2
1021	58982400	171	2^18*3^2*5^2
1022	59213025	81	3^8*5^2*19^2
1023	59290000	225	2^4*5^4*7^2*11^2
1024	59629284	189	2^2*3^6*11^2*13^2
1025	59830225	81	5^2*7^2*13^2*17^2
1026	59969536	65	2^12*11^4
1027	60093504	189	2^6*3^2*17^2*19^2
1028	60466176	121	2^10*3^10
1029	60840000	315	2^6*3^2*5^4*13^2
1030	60886809	35	3^6*17^4
1031	61465600	165	2^10*5^2*7^4
1032	61685316	243	2^2*3^2*7^2*11^2*17^2
1033	61858225	45	5^2*11^4*13^2
1034	62015625	105	3^4*5^6*7^2
1035	62473216	99	2^10*13^2*19^2
1036	62726400	405	2^8*3^4*5^2*11^2
1037	63011844	135	2^2*3^8*7^4
1038	63075364	45	2^2*11^2*19^4
1039	63297936	225	2^4*3^4*13^2*17^2
1040	63680400	405	2^4*3^2*5^2*7^2*19^2
1041	63776196	63	2^2*3^2*11^6
1042	64000000	91	2^12*5^6
1043	64128064	189	2^6*7^2*11^2*13^2
1044	64304361	39	3^12*11^2
1045	65028096	225	2^14*3^4*7^2
1046	65205625	45	5^4*17^2*19^2
1047	65367225	135	3^2*5^2*7^4*11^2
1048	65480464	75	2^4*7^2*17^4
1049	65610000	225	2^4*3^8*5^4
1050	65804544	135	2^8*3^2*13^4
1051	66015625	27	5^8*13^2
1052	66438801	81	3^2*11^2*13^2*19^2
1053	66585600	297	2^10*3^2*5^2*17^2
1054	67076100	405	2^2*3^4*5^2*7^2*13^2
1055	67108864	27	2^26
1056	67371264	189	2^8*3^6*19^2
1057	67699984	75	2^4*11^4*17^2
1058	67765824	147	2^6*3^2*7^6
1059	68062500	189	2^2*3^2*5^6*11^2
1060	68260644	99	2^2*3^10*17^2
1061	68574961	25	7^4*13^4
1062	69155856	315	2^4*3^6*7^2*11^2
1063	69222400	135	2^14*5^2*13^2
1064	69388900	135	2^2*5^2*7^4*17^2
1065	69889600	189	2^6*5^2*11^2*19^2
1066	70207641	75	3^4*7^4*19^2
1067	70526404	81	2^2*13^2*17^2*19^2
1068	70560000	405	2^8*3^2*5^4*7^2
1069	70812225	135	3^4*5^2*11^2*17^2
1070	70963776	189	2^6*3^8*13^2
1071	71368704	153	2^16*3^2*11^2
1072	71402500	75	2^2*5^4*13^4
1073	71740900	135	2^2*5^2*7^2*11^4
1074	72250000	105	2^4*5^6*17^2
1075	72335025	99	3^10*5^2*7^2
1076	72454144	117	2^12*7^2*19^2
1077	73102500	225	2^2*3^4*5^4*19^2
1078	73410624	315	2^6*3^4*7^2*17^2
1079	73530625	35	5^4*7^6
1080	73616400	405	2^4*3^2*5^2*11^2*13^2
1081	74287161	45	3^2*13^4*17^2
1082	74373376	135	2^8*7^4*11^2
1083	74649600	273	2^12*3^6*5^2
1084	74736025	81	5^2*7^2*13^2*19^2
1085	75064896	105	2^6*3^2*19^4
1086	75168900	135	2^2*3^2*5^2*17^4
1087	75759616	57	2^18*17^2
1088	75898944	175	2^6*3^4*11^4
1089	76055841	63	3^6*17^2*19^2
1090	76317696	297	2^10*3^2*7^2*13^2
1091	76527504	75	2^4*3^14
1092	76562500	81	2^2*5^8*7^2
1093	77000625	105	3^6*5^4*13^2
1094	77053284	243	2^2*3^2*7^2*11^2*19^2
1095	77228944	35	2^4*13^6
1096	77440000	165	2^10*5^4*11^2
1097	77792400	375	2^4*3^4*5^2*7^4
1098	78145600	189	2^6*5^2*13^2*17^2
1099	79067664	225	2^4*3^4*13^2*19^2
1100	79388100	243	2^2*3^8*5^2*11^2
1101	79530724	63	2^2*7^6*13^2
1102	79655625	135	3^2*5^4*7^2*17^2
1103	80281600	153	2^16*5^2*7^2
1104	80568576	243	2^8*3^2*11^2*17^2
1105	81000000	245	2^6*3^4*5^6
1106	81162081	135	3^4*7^2*11^2*13^2
1107	81450625	25	5^4*19^4
1108	81793936	135	2^4*7^2*17^2*19^2
1109	82301184	243	2^8*3^8*7^2
1110	82355625	75	3^2*5^4*11^4
1111	82810000	225	2^4*5^4*7^2*13^2
1112	83174400	297	2^10*3^2*5^2*19^2
1113	83283876	105	2^2*3^6*13^4
1114	83759104	117	2^12*11^2*13^2
1115	83960569	45	7^4*11^2*17^2
1116	84272400	315	2^4*3^6*5^2*17^2
1117	84566416	75	2^4*11^4*19^2
